dataset,run,model,parameters,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples,predicted_contact_rate,false_contact_rate,compared_pairs
corridor held-out,bi_corr_400_a_03,direct_neural_ensemble,36868,0.1712373191643727,0.058531870225657624,0.07805620927661808,13.5395715591282,0.8740443286248076,6000.0,0.013868899646735575,0.0052989663744602905,15286.0
corridor held-out,bi_corr_400_b_02,direct_neural_ensemble,36868,0.19323068119318115,0.06464457503170598,0.0676116637367516,5.109201047902195,0.9763593599331924,4507.0,0.004790905399918798,0.00243605359317905,12315.0
corridor held-out,bi_corr_400_b_04,direct_neural_ensemble,36868,0.187194172741624,0.06326930897955164,0.0817601928051338,11.972376291828542,0.8910978953984992,6000.0,0.014407882506042016,0.006042015244469233,10758.0
corridor held-out,bi_corr_400_b_06,direct_neural_ensemble,36868,0.1881004264520135,0.06373701573946623,0.08392294715038741,15.292113184865498,0.8241347085056584,6000.0,0.01830485910805414,0.005214111382294209,9014.0
corridor held-out,bi_corr_400_b_10,direct_neural_ensemble,36868,0.16335636387435734,0.05540364023266218,0.06954497597762233,12.16402535594477,0.8871388635692575,6000.0,0.011763502454991817,0.004193944353518822,9776.0
altered geometry,bi_corr_400_a_04,direct_neural_ensemble,36868,0.17934853512063137,0.060774739561022834,0.08096286458079117,15.418942345664782,0.8223680026977298,6000.0,0.018636084374360026,0.007713837121987849,14649.0
altered geometry,bi_corr_400_a_05,direct_neural_ensemble,36868,0.17392851576912463,0.05919565801894783,0.07693930998688682,15.200714001789661,0.8089329607715338,6000.0,0.01647421093148576,0.005542725173210162,12990.0
altered geometry,bi_corr_400_b_08,direct_neural_ensemble,36868,0.1815003915421007,0.06153076045983852,0.08268901106508403,16.143855019542645,0.7754327432300487,6000.0,0.022543226088859707,0.007222586999343401,9138.0
crossing external,crossing_90_d_1,direct_neural_ensemble,36868,0.3636640188231598,0.12595730154736304,0.20482955509933556,8.36144473861746,0.8945115253023997,6000.0,0.013870424532482497,0.01005938137020296,22566.0
crossing external,crossing_90_d_2,direct_neural_ensemble,36868,0.37845935798570146,0.13076652973525102,0.22453836376252684,6.579814591013886,0.9110521493985124,6000.0,0.012945882875875097,0.00888987665296144,17998.0
crossing external,crossing_90_d_3,direct_neural_ensemble,36868,0.35624406426890326,0.12322917112763332,0.19710153469209482,5.759587719706565,0.9203332421118221,6000.0,0.010536101642392316,0.00875426092345832,12908.0
crossing external,crossing_90_d_5,direct_neural_ensemble,36868,0.35767074943829963,0.12319463760445525,0.18519184841302927,8.730781817829772,0.878623441525755,6000.0,0.010837070254110613,0.007954302797352125,18732.0
crossing external,crossing_90_d_6,direct_neural_ensemble,36868,0.3409713527797977,0.11651327065975386,0.17090672326051481,11.716376979884704,0.8544793847618817,6000.0,0.014986296577059887,0.009388302524928567,17149.0
crossing external,crossing_90_d_7,direct_neural_ensemble,36868,0.347590098992663,0.11787610761431858,0.17819236304950603,13.414952074461466,0.8294468886279622,6000.0,0.017905866302864937,0.010970895861755344,17592.0
crossing external,crossing_90_d_8,direct_neural_ensemble,36868,0.3522777875162406,0.11797451859258618,0.18597460343122824,14.871931741828536,0.8136611308776952,6000.0,0.019539945584961662,0.01009151620084096,20215.0
crossing external,crossing_90_e_1,direct_neural_ensemble,36868,0.3467392891509087,0.11885615339592454,0.16806176300209005,10.62703479977995,0.8772367670498623,6000.0,0.015528319847691575,0.010649690623512613,16808.0
crossing external,crossing_90_e_2,direct_neural_ensemble,36868,0.3740489679036652,0.12722553770849532,0.178675969392973,12.365696899813885,0.854697913773625,6000.0,0.019021253795320592,0.011207358456867298,22396.0
crossing external,crossing_90_e_3,direct_neural_ensemble,36868,0.38163885010018855,0.13165725313609392,0.18438988323986796,12.608025917699027,0.8273607260269016,6000.0,0.019140606119193774,0.01338875731064817,20689.0
crossing external,crossing_90_e_4,direct_neural_ensemble,36868,0.3741881184943109,0.12791156208094698,0.17324494060238596,16.712177393440907,0.7919582712997469,6000.0,0.02148324096067564,0.01393507521773555,18945.0
crossing external,crossing_90_e_5,direct_neural_ensemble,36868,0.3723908946022256,0.12696510712412196,0.17359285601760013,18.269129631464565,0.7556172485131453,6000.0,0.020710903177954015,0.012437952872710675,17527.0
crossing external,crossing_90_e_6,direct_neural_ensemble,36868,0.36832772899881594,0.1238983429447246,0.18306164118401058,15.886903749102734,0.8090473259993867,6000.0,0.020052416651429268,0.011031876638020357,16407.0
