channel,feature,coefficient,bootstrap_95_low,bootstrap_95_high,leave_one_run_out_min,leave_one_run_out_max,leave_one_run_out_sign_retention,standardized_effect,units
parallel,persistence,0.9115004784570773,0.8746788696669022,0.92312187424769,0.8931235604301061,0.9164967205295076,1.0,0.9147954500109972,dimensionless (m/s per m/s)
parallel,goal,0.10328569853498097,0.08981081769779106,0.1364867665015523,0.09633804081527891,0.11302472556229204,1.0,0.0,m/s per unit goal vector
parallel,isotropic,-0.0016627084902023051,-0.0034250205121388903,0.00020017238633214703,-0.0020318189029166515,-0.001093055155606316,1.0,-0.007400700538361218,m/s per unit dimensionless field
parallel,forward,0.018930663372451584,0.0158137580896045,0.029121157787402888,0.017354198393241066,0.022838684396934025,1.0,0.0759257225709269,m/s per unit dimensionless field
parallel,closing,0.00278792595824914,-0.001953817754207423,0.0042950218097803266,0.0004149329301266595,0.003717236859311697,1.0,0.005489237088725802,dimensionless (m/s per m/s closing field)
lateral,persistence,0.4200837136726767,0.2575000347806158,0.531367564740758,0.36178737023022317,0.45092839663254936,1.0,0.4063149994006734,dimensionless (m/s per m/s)
lateral,isotropic,0.01311266725377102,0.007357249719504613,0.019759236542061766,0.011454022327913753,0.015663063777325785,1.0,0.19441014393641554,m/s per unit dimensionless field
lateral,forward,-0.018430253413941826,-0.045807048065648455,0.015549164270836073,-0.027386674579619085,-0.010282017307251924,1.0,-0.04298768424619129,m/s per unit dimensionless field
lateral,closing,-0.03386318780868629,-0.05582617864565037,-0.016105527599421222,-0.041387151088677354,-0.029157192352982704,1.0,-0.1357709896227992,dimensionless (m/s per m/s closing field)
lateral,wall,0.05929282551048304,0.016523721308189115,0.1580988036064048,0.04332925013880595,0.0939860882157761,1.0,0.03712984641487927,m/s per unit dimensionless field
