run,pedestrians,duration_s,mean_occupancy,samples
crossing_90_d_1,655,127.4,45.73414940364093,6000
crossing_90_d_2,606,122.88,45.16423975618016,6000
crossing_90_d_3,620,119.48,39.09805890227577,6000
crossing_90_d_5,625,98.4,61.91913856156034,6000
crossing_90_d_6,600,84.2,105.33855650522317,6000
crossing_90_d_7,623,89.28,118.23421406180027,6000
crossing_90_d_8,623,94.64,118.03597122302158,6000
crossing_90_e_1,600,142.52,47.38534942464216,6000
crossing_90_e_2,606,133.92,45.783424077434965,6000
crossing_90_e_3,599,117.36,48.827597955706985,6000
crossing_90_e_4,599,129.84,61.261780104712045,6000
crossing_90_e_5,602,117.16,77.8393602225313,6000
crossing_90_e_6,595,99.88,108.32746196957567,6000
