calibration_runs,model,mean_rmse_mps,minimum_rmse_mps,maximum_rmse_mps,subset_configurations
1,direct_network,0.4019172200740183,0.35311510129528756,0.5555119698645115,7
1,gel_ped,0.3413729457112798,0.32147450425755514,0.40422465920854056,7
2,direct_network,0.33365257076866345,0.30154020465094356,0.3865330659641072,21
2,gel_ped,0.3086827342248184,0.29408912283964045,0.3318559176939726,21
3,direct_network,0.31628714366059013,0.29775502962426575,0.37063795206983835,35
3,gel_ped,0.30133681730447176,0.2917273140852993,0.31709206774217386,35
4,direct_network,0.30577690599733554,0.2945218571609852,0.3334624402395374,35
4,gel_ped,0.2965131174872386,0.29080146019521985,0.30668147614822583,35
5,direct_network,0.3010538157097816,0.29434569051287063,0.3135397944384368,21
5,gel_ped,0.29448630657994435,0.2902572466673962,0.3011756546801997,21
6,direct_network,0.29793399247072033,0.2940916852416521,0.303082185189524,7
6,gel_ped,0.29352188619530933,0.29062459258242956,0.2963909401999715,7
7,direct_network,0.2942196466971644,0.2942196466971644,0.2942196466971644,1
7,gel_ped,0.29166160327728624,0.29166160327728624,0.29166160327728624,1
