run,pedestrians,duration_s,mean_occupancy,maximum_occupancy,median_speed_mps,mean_lane_order,entrance_width_m,corridor_length_m,exit_width_m,participant_information,screen_information
bi_corr_400_a_01,377,92.96,60.55870967741936,83,0.6674479965691984,0.9044458742173377,1.8,22.0,5.0,none,none
bi_corr_400_a_02,521,142.28,97.00674536256324,130,0.38864406756039893,0.806292564361774,3.0,22.0,5.0,none,none
bi_corr_400_a_03,541,140.68,107.25270039795338,135,0.36400662296453057,0.8088171579008754,4.0,22.0,5.0,none,none
bi_corr_400_a_04,544,163.0,119.90677134445535,149,0.30072324277982887,0.7495177755931751,4.0,17.0,2.5,none,none
bi_corr_400_a_05,559,169.8,113.36905322656618,137,0.32999337114547983,0.7939090683572819,4.0,12.0,0.0,none,none
bi_corr_400_b_01,141,76.08,13.829217025748818,22,1.3550509676761546,0.8241758241758242,0.6,22.0,5.0,choose your exit based on your hat number (even/odd),none
bi_corr_400_b_02,259,93.16,22.70772532188841,33,1.2509718721856955,0.778219494206813,0.9,22.0,5.0,choose your exit based on your hat number (even/odd),none
bi_corr_400_b_03,480,129.84,37.20049276255005,50,1.0292474495962698,0.7672347948917666,1.2,22.0,5.0,choose your exit based on your hat number (even/odd),none
bi_corr_400_b_04,743,189.76,85.0809272918862,121,0.468351257403119,0.7235048608426194,1.8,22.0,5.0,choose your exit based on your hat number (even/odd),none
bi_corr_400_b_05,643,172.64,94.24252953439888,132,0.41452329548539446,0.7289614762280694,2.4,22.0,5.0,choose your exit based on your wristband color (red/yellow),none
bi_corr_400_b_06,830,248.84,113.78190292510446,151,0.3236699708035555,0.6715420874633063,3.0,22.0,5.0,choose your exit based on your wristband color (red/yellow),none
bi_corr_400_b_07,606,162.92,117.94231713303878,158,0.33420935055746753,0.5984727778551965,4.0,22.0,5.0,choose your exit based on your wristband color (red/yellow),none
bi_corr_400_b_08,703,230.2,135.1169214732453,174,0.2621045831343495,0.6917956180202196,4.0,12.0,0.0,choose your exit based on your wristband color (red/yellow),none
bi_corr_400_b_09,483,119.28,56.7710358699296,76,0.7060853790442232,0.9683058775084634,2.4,22.0,5.0,choose your exit based on your wristband color (red/yellow),given
bi_corr_400_b_10,736,207.72,90.09626492106277,128,0.4064671342688081,0.9178091405723051,4.0,22.0,5.0,choose your exit based on your wristband color (red/yellow),given
