sensitivity,interaction_range_m,neighbour_cutoff_m,held_out_run,vector_rmse_mps
interaction_range,0.2,3.0,bi_corr_400_a_01,0.18617415315665342
interaction_range,0.2,3.0,bi_corr_400_a_02,0.19607128162881424
interaction_range,0.2,3.0,bi_corr_400_b_01,0.20276368655010318
interaction_range,0.2,3.0,bi_corr_400_b_03,0.21955756304139468
interaction_range,0.2,3.0,bi_corr_400_b_05,0.20844781201916202
interaction_range,0.2,3.0,bi_corr_400_b_07,0.20991635251338686
interaction_range,0.2,3.0,bi_corr_400_b_09,0.18872744036675768
interaction_range,0.35,3.0,bi_corr_400_a_01,0.18623282173604577
interaction_range,0.35,3.0,bi_corr_400_a_02,0.1976918370667941
interaction_range,0.35,3.0,bi_corr_400_b_01,0.20405053538359427
interaction_range,0.35,3.0,bi_corr_400_b_03,0.22055541952551613
interaction_range,0.35,3.0,bi_corr_400_b_05,0.2085697888240544
interaction_range,0.35,3.0,bi_corr_400_b_07,0.21014820034302542
interaction_range,0.35,3.0,bi_corr_400_b_09,0.1889125190232517
interaction_range,0.5,3.0,bi_corr_400_a_01,0.18649995238216924
interaction_range,0.5,3.0,bi_corr_400_a_02,0.198036232209213
interaction_range,0.5,3.0,bi_corr_400_b_01,0.20477600918656513
interaction_range,0.5,3.0,bi_corr_400_b_03,0.22147597289152465
interaction_range,0.5,3.0,bi_corr_400_b_05,0.2087654956901524
interaction_range,0.5,3.0,bi_corr_400_b_07,0.21055625494700642
interaction_range,0.5,3.0,bi_corr_400_b_09,0.1891285447980638
interaction_range,0.8,3.0,bi_corr_400_a_01,0.18664961174197559
interaction_range,0.8,3.0,bi_corr_400_a_02,0.1977161100144488
interaction_range,0.8,3.0,bi_corr_400_b_01,0.20559447325815203
interaction_range,0.8,3.0,bi_corr_400_b_03,0.22238179318580895
interaction_range,0.8,3.0,bi_corr_400_b_05,0.20868834620317508
interaction_range,0.8,3.0,bi_corr_400_b_07,0.2104521521811737
interaction_range,0.8,3.0,bi_corr_400_b_09,0.18932358812478448
interaction_range,1.2,3.0,bi_corr_400_a_01,0.1866362926577963
interaction_range,1.2,3.0,bi_corr_400_a_02,0.1973697015537715
interaction_range,1.2,3.0,bi_corr_400_b_01,0.20597917277365696
interaction_range,1.2,3.0,bi_corr_400_b_03,0.22271329653801247
interaction_range,1.2,3.0,bi_corr_400_b_05,0.20854517955876298
interaction_range,1.2,3.0,bi_corr_400_b_07,0.21032517989521418
interaction_range,1.2,3.0,bi_corr_400_b_09,0.18943096726963804
interaction_range,1.6,3.0,bi_corr_400_a_01,0.1866380432195109
interaction_range,1.6,3.0,bi_corr_400_a_02,0.19721387634873427
interaction_range,1.6,3.0,bi_corr_400_b_01,0.2060764775181189
interaction_range,1.6,3.0,bi_corr_400_b_03,0.2228046809034718
interaction_range,1.6,3.0,bi_corr_400_b_05,0.2084893853627071
interaction_range,1.6,3.0,bi_corr_400_b_07,0.21032805490435003
interaction_range,1.6,3.0,bi_corr_400_b_09,0.18949725413535115
neighbour_cutoff,0.8,2.0,bi_corr_400_a_01,0.18696560667975426
neighbour_cutoff,0.8,2.0,bi_corr_400_a_02,0.19822855118532917
neighbour_cutoff,0.8,2.0,bi_corr_400_b_01,0.20497283215205217
neighbour_cutoff,0.8,2.0,bi_corr_400_b_03,0.22188335288507724
neighbour_cutoff,0.8,2.0,bi_corr_400_b_05,0.2090942841461107
neighbour_cutoff,0.8,2.0,bi_corr_400_b_07,0.21060548694056735
neighbour_cutoff,0.8,2.0,bi_corr_400_b_09,0.1894275202582706
neighbour_cutoff,0.8,3.0,bi_corr_400_a_01,0.18664961174197559
neighbour_cutoff,0.8,3.0,bi_corr_400_a_02,0.1977161100144488
neighbour_cutoff,0.8,3.0,bi_corr_400_b_01,0.20559447325815203
neighbour_cutoff,0.8,3.0,bi_corr_400_b_03,0.22238179318580895
neighbour_cutoff,0.8,3.0,bi_corr_400_b_05,0.20868834620317508
neighbour_cutoff,0.8,3.0,bi_corr_400_b_07,0.2104521521811737
neighbour_cutoff,0.8,3.0,bi_corr_400_b_09,0.18932358812478448
neighbour_cutoff,0.8,4.0,bi_corr_400_a_01,0.1865587221807371
neighbour_cutoff,0.8,4.0,bi_corr_400_a_02,0.19752978462239051
neighbour_cutoff,0.8,4.0,bi_corr_400_b_01,0.2057134150418039
neighbour_cutoff,0.8,4.0,bi_corr_400_b_03,0.22252387483424518
neighbour_cutoff,0.8,4.0,bi_corr_400_b_05,0.20852907895376716
neighbour_cutoff,0.8,4.0,bi_corr_400_b_07,0.21036234942223242
neighbour_cutoff,0.8,4.0,bi_corr_400_b_09,0.18929075175294768
