model,run,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
persistence,bi_corr_400_a_04,0.20684988371736676,0.07083913280721867,0.0784959625302366,24.663239872606894,0.7067153809404174,6000.0
isotropic_social_force,bi_corr_400_a_04,0.2039693566480533,0.07122993141096305,0.07816738013038955,23.040542681729775,0.714826886335642,6000.0
anisotropic_geometry,bi_corr_400_a_04,0.19537643288206022,0.06720545555954131,0.07728971348327593,22.25751606025738,0.7383485910740967,6000.0
decoupled_geometry,bi_corr_400_a_04,0.1958942033887738,0.06704146390585945,0.07424820391086279,22.25751606025738,0.7369599395011011,6000.0
tensor_geometry,bi_corr_400_a_04,0.17188146688272207,0.05834649564715464,0.07275718392656254,19.686768429746287,0.7974944975937744,6000.0
persistence,bi_corr_400_a_05,0.21329518102300413,0.0741696498162762,0.08079524447074937,26.173492882892692,0.6613573861056783,6000.0
isotropic_social_force,bi_corr_400_a_05,0.2088610935010058,0.07392463695111808,0.0806848852655714,24.206048462086546,0.675290783710041,6000.0
anisotropic_geometry,bi_corr_400_a_05,0.1993125106510953,0.06996376308389674,0.07927359493218694,23.686914136471493,0.7043018276958479,6000.0
decoupled_geometry,bi_corr_400_a_05,0.1983994669614941,0.06937516566778087,0.07703408090599466,23.70532645274013,0.7070047885146369,6000.0
tensor_geometry,bi_corr_400_a_05,0.17235203515532582,0.06011221836470396,0.07356037586294341,20.438908908449882,0.7788879797993544,6000.0
persistence,bi_corr_400_b_08,0.2043345391671963,0.06921485773433142,0.0785837932946734,26.710933090207128,0.6208866452061409,6000.0
isotropic_social_force,bi_corr_400_b_08,0.20257293511668598,0.07057355642605383,0.08075110305749314,25.565411586537,0.6273952737339789,6000.0
anisotropic_geometry,bi_corr_400_b_08,0.19409792472115564,0.06695049809172886,0.08071268231870865,23.939129034873194,0.6579203006172043,6000.0
decoupled_geometry,bi_corr_400_b_08,0.19618427706888303,0.06742564121910397,0.07574683534870714,24.31082185239162,0.6505267692584273,6000.0
tensor_geometry,bi_corr_400_b_08,0.16803558091307294,0.05727840492129063,0.07577499902155586,20.815218515625347,0.7436177105714444,6000.0
