dataset,run,model,parameters,speed_cap_mps,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples,predicted_contact_rate,false_contact_rate,compared_pairs
calibration,bi_corr_400_a_01,constant_velocity,0,100.0,0.22358191885252116,0.07918200145516824,0.07554943134288883,13.61364106547188,0.9056566997405936,6000.0,0.009589411129119395,0.006032775076535206,22212.0
calibration,bi_corr_400_a_01,social_force,4,100.0,0.21159925931302767,0.0751474965517321,0.07329032861353213,12.836391618220617,0.9154981936902402,6000.0,0.009139204033855574,0.005537547271745003,22212.0
calibration,bi_corr_400_a_01,isotropic_constrained,4,100.0,0.21159925940140933,0.07514749659689442,0.07329032867411196,12.83639152264127,0.91549819361965,6000.0,0.009139204033855574,0.005537547271745003,22212.0
calibration,bi_corr_400_a_01,isotropic_unconstrained,4,100.0,0.21159925940140933,0.07514749659689442,0.07329032867411196,12.83639152264127,0.91549819361965,6000.0,0.009139204033855574,0.005537547271745003,22212.0
calibration,bi_corr_400_a_01,shared_goal_frame,6,100.0,0.20425103581633125,0.0724208745838237,0.07100671035757473,12.256938496269278,0.9212652883142843,6000.0,0.008463893390959841,0.004997298757428417,22212.0
calibration,bi_corr_400_a_01,decoupled_scalar_geometry,8,100.0,0.2054717341882078,0.07280642961460584,0.07145830476383346,12.290694208057129,0.9203213661764544,6000.0,0.008688996938591752,0.005132360886007563,22212.0
calibration,bi_corr_400_a_01,tensor_persistence_only,2,100.0,0.18978943698041092,0.06683698524330241,0.07600491992044532,11.057476451253063,0.9320199028164834,6000.0,0.007203313524221142,0.0038717810192688638,22212.0
calibration,bi_corr_400_a_01,tensor_no_isotropic,8,100.0,0.18708980120172827,0.06563868137206506,0.07130027795575726,10.79902488535089,0.9339400967569219,6000.0,0.006978209976589231,0.003556636052584189,22212.0
calibration,bi_corr_400_a_01,tensor_no_forward,8,100.0,0.18621731984560524,0.06534166744041994,0.07292495498602816,10.69458849541248,0.9345547924016147,6000.0,0.006798127138483702,0.0034215739240050424,22212.0
calibration,bi_corr_400_a_01,tensor_no_closing,8,100.0,0.187085901942992,0.06583992844221846,0.07103412942526614,10.954483764752307,0.93394285032199,6000.0,0.006843147848010085,0.003556636052584189,22212.0
calibration,bi_corr_400_a_01,tensor_no_wall,9,100.0,0.18569069363210697,0.0651358064946302,0.0712412682201844,10.706862924333054,0.9349244296386084,6000.0,0.006888168557536467,0.0035116153430578066,22212.0
calibration,bi_corr_400_a_01,tensor_response,10,100.0,0.18549874530258542,0.06508458516579287,0.0712367205343292,10.713219509808958,0.935058897238839,6000.0,0.006933189267062849,0.003601656762110571,22212.0
calibration,bi_corr_400_a_01,tensor_without_cap,10,100.0,0.18549874530258542,0.06508458516579287,0.0712367205343292,10.713219509808958,0.935058897238839,6000.0,0.006933189267062849,0.003601656762110571,22212.0
calibration,bi_corr_400_a_01,unrestricted_ten_scalar,22,100.0,0.18280326581728928,0.06395278734752226,0.07125308395086448,10.494640973843625,0.9369325013358971,6000.0,0.0066630650099045565,0.0033315325049522782,22212.0
calibration,bi_corr_400_a_01,invariant_ridge,26,100.0,0.18267461075381886,0.0639451082654359,0.07084198904255977,10.488772234274252,0.9370212426146574,6000.0,0.006798127138483702,0.0034665946335314243,22212.0
calibration,bi_corr_400_a_01,interaction_mlp,18434,100.0,0.16188259945391303,0.05570496819054264,0.06848018764594965,7.887043067525058,0.9505418297425714,6000.0,0.0063929407527462635,0.002971366828741221,22212.0
calibration,bi_corr_400_a_01,goal_stable_neural,18434,100.0,0.16189523624994662,0.055709929062512875,0.0684799094020407,7.888261747218202,0.9505341078848081,6000.0,0.0063929407527462635,0.002971366828741221,22212.0
calibration,bi_corr_400_a_01,tensor_residual,18700,100.0,0.16192815857339868,0.05593372188631262,0.06645363817814681,8.050373296814886,0.9505139874943204,6000.0,0.0058526922384296775,0.0025661804430037816,22212.0
calibration,bi_corr_400_a_01,tensor_residual_ungated,18700,100.0,0.16192815857339868,0.05593372188631262,0.06645363817814681,8.050373296814886,0.9505139874943204,6000.0,0.0058526922384296775,0.0025661804430037816,22212.0
calibration,bi_corr_400_a_01,gel_ped,37134,100.0,0.16072813456468565,0.05540516770866343,0.06681398675963204,7.945544120668748,0.9512447357398057,6000.0,0.006257878624167117,0.0028363047001620746,22212.0
calibration,bi_corr_400_a_02,constant_velocity,0,100.0,0.22460998518739522,0.07865145850617555,0.08232491280586188,20.99245600413942,0.7899878861256707,6000.0,0.01842014487754398,0.008830631252155916,14495.0
calibration,bi_corr_400_a_02,social_force,4,100.0,0.21726661750934123,0.07630674558133589,0.08082895667977283,19.79693683085209,0.8034956203790561,6000.0,0.017799241117626766,0.008347706105553639,14495.0
calibration,bi_corr_400_a_02,isotropic_constrained,4,100.0,0.21726661743008993,0.07630674559795597,0.08082895668133082,19.79693705927982,0.803495620522412,6000.0,0.017799241117626766,0.008347706105553639,14495.0
calibration,bi_corr_400_a_02,isotropic_unconstrained,4,100.0,0.21726661743008993,0.07630674559795597,0.08082895668133082,19.79693705927982,0.803495620522412,6000.0,0.017799241117626766,0.008347706105553639,14495.0
calibration,bi_corr_400_a_02,shared_goal_frame,6,100.0,0.21244876471520405,0.07396942126858826,0.07928927693211682,19.257518607999387,0.8121139014613821,6000.0,0.017247326664367024,0.007657813038978958,14495.0
calibration,bi_corr_400_a_02,decoupled_scalar_geometry,8,100.0,0.21481649087456758,0.07463737311568035,0.07816233702856051,19.299346404719778,0.8079026102056309,6000.0,0.017109348051052086,0.007726802345636426,14495.0
calibration,bi_corr_400_a_02,tensor_persistence_only,2,100.0,0.20094478104475758,0.06952622740457534,0.08701402746339396,18.409721360790098,0.8319108464501951,6000.0,0.01628147637116247,0.007105898585719214,14495.0
calibration,bi_corr_400_a_02,tensor_no_isotropic,8,100.0,0.1984470889203759,0.06827037389738576,0.08275399377121023,17.524846677274066,0.8360634871150031,6000.0,0.01586754053121766,0.006484994825802001,14495.0
calibration,bi_corr_400_a_02,tensor_no_forward,8,100.0,0.19775237264728593,0.06811726212697376,0.08299547508630135,17.109031815725512,0.8372092838513064,6000.0,0.015798551224560194,0.006347016212487065,14495.0
calibration,bi_corr_400_a_02,tensor_no_closing,8,100.0,0.1993034912025072,0.06885324966709165,0.08294784672757796,18.14643383953919,0.8346454915726371,6000.0,0.016143497757847534,0.0068299413590893416,14495.0
calibration,bi_corr_400_a_02,tensor_no_wall,9,100.0,0.19705011559225522,0.06781148472153994,0.08274977031373541,17.156376659188716,0.8383634337558387,6000.0,0.015729561917902726,0.006347016212487065,14495.0
calibration,bi_corr_400_a_02,tensor_response,10,100.0,0.19717301979803548,0.06780671489846506,0.08273305733845747,17.160883655994255,0.838161738779942,6000.0,0.01586754053121766,0.006484994825802001,14495.0
calibration,bi_corr_400_a_02,tensor_without_cap,10,100.0,0.19717301979803548,0.06780671489846506,0.08273305733845747,17.160883655994255,0.838161738779942,6000.0,0.01586754053121766,0.006484994825802001,14495.0
calibration,bi_corr_400_a_02,unrestricted_ten_scalar,22,100.0,0.19420168777281455,0.06653426310405562,0.08213896334530728,16.652054424227174,0.8430026839964028,6000.0,0.016005519144532597,0.006278026905829596,14495.0
calibration,bi_corr_400_a_02,invariant_ridge,26,100.0,0.1933337566177831,0.06628553086110292,0.0815128265355071,16.62694080267702,0.8444028609839431,6000.0,0.01593652983787513,0.006347016212487065,14495.0
calibration,bi_corr_400_a_02,interaction_mlp,18434,100.0,0.16608190904482642,0.05629256594252814,0.0723107022474522,12.410631807001048,0.8851764725848634,6000.0,0.014211797171438428,0.00469127285270783,14495.0
calibration,bi_corr_400_a_02,goal_stable_neural,18434,100.0,0.1664190634906986,0.05642349901545734,0.07256604191441918,12.473965539972006,0.8847098045667081,6000.0,0.014280786478095895,0.004760262159365298,14495.0
calibration,bi_corr_400_a_02,tensor_residual,18700,100.0,0.1666273057971077,0.05685748212763715,0.07059042419752211,12.639649366155172,0.8844210958497641,6000.0,0.013659882718178683,0.00434632631942049,14495.0
calibration,bi_corr_400_a_02,tensor_residual_ungated,18700,100.0,0.1666273057971077,0.05685748212763715,0.07059042419752211,12.639649366155172,0.8844210958497641,6000.0,0.013659882718178683,0.00434632631942049,14495.0
calibration,bi_corr_400_a_02,gel_ped,37134,100.0,0.16453898570201345,0.05590939460990827,0.0704794178181564,12.386835926590674,0.8873000146792027,6000.0,0.014004829251466023,0.004553294239392894,14495.0
