horizon_s,dataset,model,run_balanced_rmse_mps,displacement_mae_m,runs
0.2,altered geometry,direct_network,0.16771295805275513,0.02893519317324143,3
0.2,altered geometry,gel_ped,0.1657253677385202,0.028628543562922465,3
0.2,altered geometry,goal_stable_neural,0.16977711606205412,0.02917773252852282,3
0.2,corridor held-out,direct_network,0.17610003790269796,0.030399491382998606,5
0.2,corridor held-out,gel_ped,0.17383726649598796,0.030114784954056756,5
0.2,corridor held-out,goal_stable_neural,0.1770736840607637,0.030470304353226764,5
0.2,crossing external,direct_network,0.39753253568228036,0.06801904886165665,13
0.2,crossing external,gel_ped,0.3830793470987146,0.06586855888696315,13
0.2,crossing external,goal_stable_neural,0.4072216086689594,0.06874818352155031,13
0.4,altered geometry,direct_network,0.17982170287303934,0.06097128476654284,3
0.4,altered geometry,gel_ped,0.1806961141739941,0.06125017056830969,3
0.4,altered geometry,goal_stable_neural,0.18078131084919638,0.06124781232347947,3
0.4,corridor held-out,direct_network,0.18189476065228177,0.06159133082296656,5
0.4,corridor held-out,gel_ped,0.18377178113391632,0.062160100294688866,5
0.4,corridor held-out,goal_stable_neural,0.18222661747311875,0.061690821121339126,5
0.4,crossing external,direct_network,0.3638210514430712,0.12402137525936743,13
0.4,crossing external,gel_ped,0.35876510927934213,0.12222472429296448,13
0.4,crossing external,goal_stable_neural,0.3642441857721881,0.12399720820980627,13
0.8,altered geometry,direct_network,0.14853590665111258,0.09845184995141332,3
0.8,altered geometry,gel_ped,0.14843576343835907,0.0981493648936267,3
0.8,altered geometry,goal_stable_neural,0.14775137412396624,0.09799693142111232,3
0.8,corridor held-out,direct_network,0.15587412847865284,0.10219085201534402,5
0.8,corridor held-out,gel_ped,0.15435294916111403,0.10086410567476216,5
0.8,corridor held-out,goal_stable_neural,0.155749427735392,0.10203028365149773,5
0.8,crossing external,direct_network,0.35422935555510543,0.22734314885111973,13
0.8,crossing external,gel_ped,0.33727456844662146,0.216730806691462,13
0.8,crossing external,goal_stable_neural,0.3543824528784994,0.22736097540269912,13
1.2,altered geometry,direct_network,0.11675009872139976,0.11541535203548947,3
1.2,altered geometry,gel_ped,0.11672621644170227,0.11514762108273037,3
1.2,altered geometry,goal_stable_neural,0.11600805197474529,0.11459935467999904,3
1.2,corridor held-out,direct_network,0.13565949260795487,0.1312325679205501,5
1.2,corridor held-out,gel_ped,0.1352013509740146,0.13036576959182206,5
1.2,corridor held-out,goal_stable_neural,0.1355909365421311,0.13099296279259842,5
1.2,crossing external,direct_network,0.38780239186638477,0.36351641639082444,13
1.2,crossing external,gel_ped,0.3760000742567102,0.351196777132078,13
1.2,crossing external,goal_stable_neural,0.3877255949566497,0.3634715654708086,13
