goal_method,dataset,run,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
entry,corridor held-out,bi_corr_400_a_03,0.20702047530707968,0.07110217400033289,0.08874844646051866,18.42662908958642,0.8159026700420299,6000.0
entry,corridor held-out,bi_corr_400_b_02,0.21185704293844304,0.07034460764339785,0.07246960139977889,5.7151276378915945,0.9715820416492802,4507.0
entry,corridor held-out,bi_corr_400_b_04,0.21726750364192854,0.07441480626964037,0.09291065199513743,15.594977481439974,0.8532962648874655,6000.0
entry,corridor held-out,bi_corr_400_b_06,0.218627590548385,0.07422017390213707,0.09530068391471802,19.760449577858076,0.762419652645282,6000.0
entry,corridor held-out,bi_corr_400_b_10,0.1977746866028708,0.06783376721992267,0.08147351637070444,16.60680096119073,0.834570212044474,6000.0
entry,crossing external,crossing_90_d_1,0.3455160948183177,0.11927429064707638,0.16387077119718685,8.894275203386986,0.9047772082255994,6000.0
entry,crossing external,crossing_90_d_2,0.34931144713172485,0.11890682919422431,0.17600304711072845,6.544232205617986,0.9242255841170368,6000.0
entry,crossing external,crossing_90_d_3,0.32744145367711863,0.11151044644704702,0.16216176613566935,5.608193012921698,0.9326947116570949,6000.0
entry,crossing external,crossing_90_d_5,0.3506250291211965,0.12118376114860006,0.16746533176121692,8.99877614606423,0.8833583111269538,6000.0
entry,crossing external,crossing_90_d_6,0.3513781854026459,0.12100997916110448,0.15751579788467515,13.387375577809046,0.8454609179068263,6000.0
entry,crossing external,crossing_90_d_7,0.3795857919264343,0.12738970401401756,0.17674491780979415,15.571047792972056,0.7966029037098689,6000.0
entry,crossing external,crossing_90_d_8,0.3714455954892057,0.1252559655897712,0.1749720837200049,18.206753930181467,0.7928316719002164,6000.0
entry,crossing external,crossing_90_e_1,0.3567771133295763,0.12163246901065346,0.16106171080792092,11.233052798910105,0.8700260904170003,6000.0
entry,crossing external,crossing_90_e_2,0.385078045549249,0.13024114030110406,0.1768921844678248,13.205269591578825,0.8460029341497266,6000.0
entry,crossing external,crossing_90_e_3,0.39099050230174226,0.1343634441660286,0.18401485633530903,13.204610093885766,0.8187963841910898,6000.0
entry,crossing external,crossing_90_e_4,0.39401954114012083,0.1343426378140209,0.17404670305768088,18.813029055216383,0.769322100064816,6000.0
entry,crossing external,crossing_90_e_5,0.4049716616675896,0.1368174440789623,0.18379478765790927,20.93362844316585,0.710984116221884,6000.0
entry,crossing external,crossing_90_e_6,0.3949394988085606,0.13147518305786593,0.1837277656626508,18.50184242280979,0.7804577781086991,6000.0
endpoint,corridor held-out,bi_corr_400_a_03,0.1809482633464777,0.06280438638805784,0.07804423721872336,18.186429003254677,0.8396271885453594,6000.0
endpoint,corridor held-out,bi_corr_400_b_02,0.21870367263507143,0.07134822078301421,0.07391492844985699,5.66109654752127,0.9698898135911314,4766.0
endpoint,corridor held-out,bi_corr_400_b_04,0.1952910793614648,0.06698591935738761,0.08038562570689535,15.066495398979317,0.8765122764037566,6000.0
endpoint,corridor held-out,bi_corr_400_b_06,0.18453099353668673,0.06307743442477022,0.08172647734340387,19.597536491891447,0.7931132835632821,6000.0
endpoint,corridor held-out,bi_corr_400_b_10,0.1741043087421225,0.06072196691716613,0.07098579307570924,15.886330106546223,0.8640872029929472,6000.0
endpoint,crossing external,crossing_90_d_1,0.32208850348632073,0.11135612384495244,0.15795059446616505,8.162189506490945,0.9179135949194972,6000.0
endpoint,crossing external,crossing_90_d_2,0.33607149491416244,0.11496563238835925,0.1751046458329897,5.981606099414927,0.9308785712341159,6000.0
endpoint,crossing external,crossing_90_d_3,0.3156585948508912,0.10742894886245609,0.16035716463164582,5.196471180676053,0.9377208710724718,6000.0
endpoint,crossing external,crossing_90_d_5,0.33515596397568714,0.11588442393044057,0.1609130887276348,8.448266790276474,0.8954265787861014,6000.0
endpoint,crossing external,crossing_90_d_6,0.3332374896041072,0.11405588328213766,0.15018676461384406,12.664357643956595,0.8605570770594919,6000.0
endpoint,crossing external,crossing_90_d_7,0.33100271922500824,0.11319084143710921,0.15156852756508318,15.47511558542509,0.8370001957746591,6000.0
endpoint,crossing external,crossing_90_d_8,0.32849824711120523,0.11231028422667491,0.154245825425446,16.75184729758893,0.8287489841233007,6000.0
endpoint,crossing external,crossing_90_e_1,0.331894595732606,0.1137769511770876,0.14957714467235386,10.486727596319671,0.8891035948655018,6000.0
endpoint,crossing external,crossing_90_e_2,0.3645883489732322,0.12441897336245987,0.1681903421615727,12.668326218271627,0.8628940348262324,6000.0
endpoint,crossing external,crossing_90_e_3,0.37417862510202576,0.12884011183217095,0.17347828002294102,12.656168925957212,0.8321094020254909,6000.0
endpoint,crossing external,crossing_90_e_4,0.36758488946831414,0.12601166468556466,0.16138637275232798,17.25846531621983,0.8012874258014597,6000.0
endpoint,crossing external,crossing_90_e_5,0.35380007139757363,0.12184697661004984,0.15553701204873152,19.81798574002152,0.7771882086393057,6000.0
endpoint,crossing external,crossing_90_e_6,0.34861640410525097,0.11818203620270769,0.16152816533931888,18.06474429276104,0.8193542942195635,6000.0
prior_velocity,corridor held-out,bi_corr_400_a_03,0.2191810243627252,0.07662850376846213,0.08923265267034397,20.098226358918637,0.8075173068616367,6000.0
prior_velocity,corridor held-out,bi_corr_400_b_02,0.21929490203193625,0.07616746561784672,0.06928262041443337,6.870039960258572,0.9695516241056623,4507.0
prior_velocity,corridor held-out,bi_corr_400_b_04,0.22704546428332004,0.07922028582199751,0.08974202169024037,17.592385340299064,0.8470214362294552,6000.0
prior_velocity,corridor held-out,bi_corr_400_b_06,0.23077007501776103,0.08049854591227452,0.09168966594896466,20.47992787460061,0.7970061440198033,6000.0
prior_velocity,corridor held-out,bi_corr_400_b_10,0.21305883035014755,0.07442998266668864,0.08295774595735231,18.799276146384777,0.8175027717571038,6000.0
prior_velocity,crossing external,crossing_90_d_1,0.4019266962721621,0.1398859964666372,0.16179033014534333,11.514359366065552,0.8721305977868498,6000.0
prior_velocity,crossing external,crossing_90_d_2,0.3949678858833089,0.1358740793269726,0.1716937641279228,8.086713455044183,0.9042365040664447,6000.0
prior_velocity,crossing external,crossing_90_d_3,0.3669220909866888,0.12623870457700748,0.1553932203729026,7.071893620211968,0.9152563379257029,6000.0
prior_velocity,crossing external,crossing_90_d_5,0.41472774843274124,0.14452875889460812,0.16491474203566875,12.238926355329315,0.8381836399989755,6000.0
prior_velocity,crossing external,crossing_90_d_6,0.4084179134063607,0.14260052615474192,0.1518228446807082,17.107283291459787,0.7910544466088564,6000.0
prior_velocity,crossing external,crossing_90_d_7,0.40488416512243436,0.14056965523277928,0.15420236640155155,19.789779495183595,0.7687790852530794,6000.0
prior_velocity,crossing external,crossing_90_d_8,0.4039072160835736,0.13992147457107865,0.15798328347749138,21.562633002896007,0.7557409068043242,6000.0
prior_velocity,crossing external,crossing_90_e_1,0.3968551867520697,0.13719492677778278,0.14887316406895718,13.715233068863132,0.8396983803160414,6000.0
prior_velocity,crossing external,crossing_90_e_2,0.4208602313597791,0.1457886659356938,0.16613963934347156,14.82997153930811,0.8248043644183681,6000.0
prior_velocity,crossing external,crossing_90_e_3,0.43322020178434323,0.15114126061348793,0.16353509239743885,15.921765464520425,0.7798173601751969,6000.0
prior_velocity,crossing external,crossing_90_e_4,0.4284140850108389,0.14857729729969688,0.15678062217829528,21.21347005843142,0.7397149446338274,6000.0
prior_velocity,crossing external,crossing_90_e_5,0.42198606469248134,0.14619237129060939,0.15189939121064538,24.765842162739837,0.6980785201439317,6000.0
prior_velocity,crossing external,crossing_90_e_6,0.40681083505159227,0.1401961354212846,0.1556101916388962,20.796591556876997,0.7762263816273894,6000.0
